PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10302,0,0,0.38,-85.053,120.181,0,0,0,0
10303,0,0,0.394,-84.485,119.119,0,0,0,0
10304,0,0,0.388,-83.884,118.055,0,0,0,0
10305,0,0,0.382,-83.319,117.0,0,0,0,0
10306,0,0,0.381,-82.764,115.997,0,0,0,0
10307,0,0,0.378,-82.19,114.967,0,0,0,0
10308,0,0,0.362,-81.673,113.993,0,0,0,0
10309,0,0,0.356,-81.191,112.995,0,0,0,0
10310,0,0,0.344,-80.739,111.962,0,0,0,0
10311,0,0,0.349,-80.358,110.953,0,0,0,0
10312,0,0,0.335,-80.001,109.958,0,0,0,0
10313,0,0,0.33,-79.715,108.983,0,0,0,0
10314,0,0,0.332,-79.48,107.981,0,0,0,0
10315,0,0,0.319,-79.282,106.998,0,0,0,0
10316,0,0,0.328,-79.132,105.846,0,0,0,0
10317,0,0,0.32,-79.09,104.843,0,0,0,0
10318,0,0,0.318,-79.039,103.838,0,0,0,0
10319,0,0,0.325,-79.103,102.763,0,0,0,0
10320,0,0,0.32,-79.239,101.69,0,0,0,0
10321,0,0,0.305,-79.449,100.613,0,0,0,0
10322,0,0,0.305,-79.738,99.466,0,0,0,0
10323,0,0,0.31,-80.161,98.344,0,0,0,0
10324,0,0,0.303,-80.587,97.436,0,0,0,0
10325,0,0,0.301,-81.06,96.513,0,0,0,0
10326,0,0,0.299,-81.615,95.645,0,0,0,0
10327,0,0,0.311,-82.237,94.791,0,0,0,0
10328,0,0,0.314,-82.898,94.019,0,0,0,0
10329,0,0,0.325,-83.607,93.268,0,0,0,0
10330,0,0,0.333,-85.019,92.195,0,0,0,0
10331,0,0,0.346,-85.868,91.618,0,0,0,0
10332,0,0,0.359,-86.716,91.041,0,0,0,0
10333,0,0,0.372,-87.564,90.464,0,0,0,0
10334,0,0,0.385,-88.412,89.887,0,0,0,0
10335,0,0,0.398,-89.26,89.31,0,0,0,0
10336,0,0,0.412,-90.109,88.733,0,0,0,0
10337,0,0,0.425,-90.957,88.156,0,0,0,0
10338,0,0,0.438,-91.805,87.579,0,0,0,0
10339,0,0,0.451,-92.653,87.002,0,0,0,0
10340,0,0,0.465,-93.502,86.426,0,0,0,0
10341,0,0,0.474,-94.421,85.92,0,0,0,0
10342,0,0,0.482,-95.364,85.438,0,0,0,0
10343,0,0,0.477,-96.272,84.972,0,0,0,0
10344,0,0,0.487,-97.197,84.508,0,0,0,0
10345,0,0,0.487,-98.09,84.025,0,0,0,0
10346,0,0,0.501,-98.997,83.585,0,0,0,0
10347,0,0,0.515,-100.156,82.956,0,0,0,0
10348,0,0,0.536,-101.312,82.367,0,0,0,0
10349,0,0,0.517,-102.449,81.762,0,0,0,0
10350,0,0,0.533,-103.561,81.154,0,0,0,0
10351,0,0,0.54,-104.654,80.538,0,0,0,0
10352,0,0,0.529,-105.721,79.945,0,0,0,0
10353,0,0,0.536,-106.76,79.299,0,0,0,0
10354,0,0,0.537,-107.815,78.669,0,0,0,0
10355,0,0,0.572,-108.749,78.017,0,0,0,0
10356,0,0,0.571,-109.638,77.315,0,0,0,0
10357,0,0,0.57,-110.511,76.56,0,0,0,0
10358,0,0,0.535,-111.233,75.778,0,0,0,0
10359,0,0,0.555,-111.904,74.869,0,0,0,0
10360,0,0,0.53,-112.425,73.928,0,0,0,0
10361,0,0,0.522,-112.785,72.981,0,0,0,0
10362,0,0,0.533,-113.069,71.985,0,0,0,0
10363,0,0,0.541,-113.168,70.765,0,0,0,0
10364,0,0,0.533,-113.096,69.583,0,0,0,0
10365,0,0,0.54,-112.846,68.391,0,0,0,0
10366,0,0,0.535,-112.329,67.339,0,0,0,0
10367,0,0,0.539,-111.872,66.244,0,0,0,0
10368,0,0,0.522,-111.373,65.373,0,0,0,0
10369,0,0,0.517,-110.898,64.471,0,0,0,0
10370,0,0,0.505,-110.371,63.533,0,0,0,0
10371,0,0,0.499,-109.838,62.609,0,0,0,0
10372,0,0,0.492,-109.304,61.685,0,0,0,0
10373,0,0,0.486,-108.771,60.762,0,0,0,0
10374,0,0,0.48,-108.238,59.838,0,0,0,0
10375,0,0,0.473,-107.705,58.914,0,0,0,0
10376,0,0,0.468,-107.231,58.03,0,0,0,0
10377,0,0,0.455,-106.553,57.086,0,0,0,0
10378,0,0,0.442,-105.875,56.142,0,0,0,0
10379,0,0,0.43,-105.196,55.198,0,0,0,0
10380,0,0,0.417,-104.518,54.254,0,0,0,0
10381,0,0,0.405,-103.841,53.31,0,0,0,0
10382,0,0,0.398,-103.347,52.436,0,0,0,0
