PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10331,0,0,0.221,-85.004,15.864,0,0,0,0
10332,0,0,0.218,-84.622,14.896,0,0,0,0
10333,0,0,0.216,-84.195,13.884,0,0,0,0
10334,0,0,0.235,-83.828,12.867,0,0,0,0
10335,0,0,0.231,-83.417,11.879,0,0,0,0
10336,0,0,0.198,-83.027,10.854,0,0,0,0
10337,0,0,0.221,-82.647,9.847,0,0,0,0
10338,0,0,0.228,-82.23,8.855,0,0,0,0
10339,0,0,0.225,-81.833,7.814,0,0,0,0
10340,0,0,0.228,-81.464,6.804,0,0,0,0
10341,0,0,0.225,-81.06,5.764,0,0,0,0
10342,0,0,0.229,-80.664,4.723,0,0,0,0
10343,0,0,0.237,-80.289,3.699,0,0,0,0
10344,0,0,0.209,-79.938,2.609,0,0,0,0
10345,0,0,0.209,-79.555,1.598,0,0,0,0
10346,0,0,0.233,-79.168,0.549,0,0,0,0
10347,0,0,0.229,-78.775,-0.489,0,0,0,0
10348,0,0,0.236,-78.415,-1.555,0,0,0,0
10349,0,0,0.221,-78.053,-2.622,0,0,0,0
10350,0,0,0.246,-77.713,-3.7,0,0,0,0
10351,0,0,0.239,-77.378,-4.767,0,0,0,0
10352,0,0,0.222,-77.044,-5.851,0,0,0,0
10353,0,0,0.226,-76.73,-6.944,0,0,0,0
10354,0,0,0.241,-76.415,-8.048,0,0,0,0
10355,0,0,0.261,-76.098,-9.158,0,0,0,0
10356,0,0,0.256,-75.831,-10.257,0,0,0,0
10357,0,0,0.248,-75.562,-11.432,0,0,0,0
10358,0,0,0.239,-75.257,-12.516,0,0,0,0
10359,0,0,0.278,-75.029,-13.658,0,0,0,0
10360,0,0,0.296,-74.792,-14.757,0,0,0,0
10361,0,0,0.281,-74.552,-15.855,0,0,0,0
10362,0,0,0.288,-74.328,-16.94,0,0,0,0
10363,0,0,0.312,-74.133,-18.035,0,0,0,0
10364,0,0,0.298,-73.99,-19.084,0,0,0,0
10365,0,0,0.301,-73.812,-20.125,0,0,0,0
10366,0,0,0.326,-73.68,-21.195,0,0,0,0
10367,0,0,0.329,-73.544,-22.199,0,0,0,0
10368,0,0,0.323,-73.431,-23.238,0,0,0,0
10369,0,0,0.32,-73.326,-24.308,0,0,0,0
10370,0,0,0.309,-73.228,-25.342,0,0,0,0
10371,0,0,0.331,-73.129,-26.417,0,0,0,0
10372,0,0,0.34,-73.027,-27.485,0,0,0,0
10373,0,0,0.355,-72.923,-28.545,0,0,0,0
10374,0,0,0.365,-72.852,-29.616,0,0,0,0
10375,0,0,0.381,-72.784,-30.693,0,0,0,0
10376,0,0,0.386,-72.713,-31.778,0,0,0,0
10377,0,0,0.378,-72.626,-32.886,0,0,0,0
10378,0,0,0.392,-72.57,-33.955,0,0,0,0
10379,0,0,0.403,-72.507,-35.03,0,0,0,0
10380,0,0,0.428,-72.439,-36.072,0,0,0,0
10381,0,0,0.478,-72.384,-37.136,0,0,0,0
10382,0,0,0.326,-72.304,-38.23,0,0,0,0
10383,0,0,0.303,-72.225,-39.307,0,0,0,0
10384,0,0,0.389,-72.189,-40.378,0,0,0,0
10385,0,0,0.566,-72.131,-41.471,0,0,0,0
10386,0,0,0.557,-72.13,-42.53,0,0,0,0
10387,0,0,0.476,-72.066,-43.642,0,0,0,0
10388,0,0,0.481,-72.025,-44.758,0,0,0,0
10389,0,0,0.485,-71.987,-45.762,0,0,0,0
10390,0,0,0.489,-71.95,-46.767,0,0,0,0
10391,0,0,0.493,-71.913,-47.771,0,0,0,0
10392,0,0,0.497,-71.875,-48.776,0,0,0,0
10393,0,0,0.501,-71.838,-49.781,0,0,0,0
10394,0,0,0.505,-71.801,-50.785,0,0,0,0
10395,0,0,0.509,-71.763,-51.79,0,0,0,0
